JNJ,Bull,2017-09-28T08:55:45Z
HA,Bull,2017-09-28T08:55:45Z
HSIC,Bull,2017-09-28T08:55:45Z
SHOP,Bull,2017-09-28T08:55:45Z
ADNT,Bull,2017-09-28T08:55:45Z
TWX,Bear,2017-09-28T08:55:45Z
DRE,Bear,2017-09-28T08:55:45Z
F,Bear,2017-09-28T08:55:45Z
CHK,Bear,2017-09-28T08:55:45Z
HMST,Bull,2013-02-27T11:37:38Z
RDS.A,Bull,2013-02-27T11:37:38Z
MCD,Bull,2013-02-27T11:37:38Z
AA,Bear,2013-02-27T11:37:38Z
CRM,Bull,2010-04-08T10:30:43Z
FLR,Bull,2010-04-08T10:30:43Z
RSG,Bull,2010-04-08T10:30:43Z
FLEX,Bull,2010-04-08T10:30:43Z
TLAB,Bull,2010-04-08T10:30:43Z
DE,Bull,2010-04-08T10:30:43Z
CBI,Bear,2010-04-08T10:30:43Z
CPWR-OLD,Bear,2010-04-08T10:30:43Z
MON,Bear,2010-04-08T10:30:43Z
EBIX,Bear,2010-04-08T10:30:43Z
ARIA,Bull,2012-06-29T07:54:36Z
VZ,Bull,2012-06-29T07:54:36Z
COP,Bull,2012-06-29T07:54:36Z
WTW,Bear,2012-06-29T07:54:36Z
VIV,Bear,2012-06-29T07:54:36Z
MOS,Bear,2012-06-29T07:54:36Z
SID,Bear,2012-06-29T07:54:36Z
IP,Bull,2011-07-01T10:34:39Z
MANT,Bull,2011-07-01T10:34:39Z
SD,Bull,2011-07-01T10:34:39Z
FIO,Bull,2011-07-01T10:34:39Z
RDS.A,Bull,2011-07-01T10:34:39Z
HAL,Bear,2011-07-01T10:34:39Z
BSX,Bear,2011-07-01T10:34:39Z
GVA,Bull,2018-02-07T11:37:28Z
TEAM,Bull,2018-02-07T11:37:28Z
AVAV,Bull,2018-02-07T11:37:28Z
CAG,Bull,2018-02-07T11:37:28Z
F,Bear,2018-02-07T11:37:28Z
CHK,Bear,2018-02-07T11:37:28Z
MDCO,Bear,2018-02-07T11:37:28Z
VZ,Bull,2013-09-29T10:59:52Z
LOCK,Bull,2013-09-29T10:59:52Z
OAS,Bull,2013-09-29T10:59:52Z
RAD,Bull,2013-09-29T10:59:52Z
EBAY,Bull,2009-05-13T09:32:48Z
BMO,Bull,2009-05-13T09:32:48Z
VZ,Bull,2009-05-13T09:32:48Z
SOLR,Bear,2009-05-13T09:32:48Z
MBI,Bear,2009-05-13T09:32:48Z
MELI,Bear,2009-05-13T09:32:48Z
AVNR,Bull,2013-09-10T10:06:19Z
FIG,Bull,2013-09-10T10:06:19Z
PRI,Bull,2013-09-10T10:06:19Z
HCI,Bull,2013-09-10T10:06:19Z
RPTP,Bear,2013-09-10T10:06:19Z
DVA,Bear,2013-09-10T10:06:19Z
NES,Bear,2013-09-10T10:06:19Z
CSCO,Bull,2013-03-03T11:19:58Z
KORS,Bull,2013-03-03T11:19:58Z
GIS,Bull,2013-03-03T11:19:58Z
EPD,Bull,2013-03-03T11:19:58Z
EWW,Bull,2013-03-03T11:19:58Z
EGHT,Bear,2013-03-03T11:19:58Z
DF,Bear,2013-03-03T11:19:58Z
FOSL,Bear,2013-03-03T11:19:58Z
ROK,Bull,2010-11-10T08:59:55Z
NG,Bull,2010-11-10T08:59:55Z
CROX,Bear,2010-11-10T08:59:55Z
CAJ,Bear,2010-11-10T08:59:55Z
MO,Bear,2010-11-10T08:59:55Z
DVN,Bull,2010-07-23T10:47:53Z
NVDA,Bull,2010-07-23T10:47:53Z
CRM,Bull,2010-07-23T10:47:53Z
DECK,Bear,2010-07-23T10:47:53Z
DECK,Bear,2014-12-10T09:38:29Z
AA,Bull,2010-10-12T11:14:20Z
VZ,Bull,2010-10-12T11:14:20Z
WFC,Bear,2010-10-12T11:14:20Z
MAS,Bear,2010-10-12T11:14:20Z
SLB,Bull,2012-04-06T11:08:18Z
RYN,Bull,2012-04-06T11:08:18Z
DKS,Bull,2012-04-06T11:08:18Z
CQP,Bull,2012-04-06T11:08:18Z
ELY,Bear,2012-04-06T11:08:18Z
P,Bear,2012-04-06T11:08:18Z
BVSN,Bear,2012-04-06T11:08:18Z
INTC,Bull,2018-01-18T11:35:52Z
FOXA,Bull,2018-01-18T11:35:52Z
CIM,Bear,2018-01-18T11:35:52Z
EXC,Bear,2018-01-18T11:35:52Z
OXM,Bull,2010-12-06T11:39:52Z
ABT,Bull,2010-12-06T11:39:52Z
FTR,Bull,2010-12-06T11:39:52Z
LYB,Bull,2010-12-06T11:39:52Z
MDT,Bear,2010-12-06T11:39:52Z
HPQ,Bear,2010-12-06T11:39:52Z
MSG,Bear,2010-12-06T11:39:52Z
WFT,Bear,2010-12-06T11:39:52Z
MO,Bear,2010-12-06T11:39:52Z
MON,Bull,2011-03-11T10:44:48Z
JBL,Bull,2011-03-11T10:44:48Z
ATVI,Bear,2011-03-11T10:44:48Z
PZG,Bear,2011-03-11T10:44:48Z
CAT,Bear,2011-03-11T10:44:48Z
AIG,Bear,2011-03-11T10:44:48Z
SINA,Bull,2011-04-29T10:38:28Z
GG,Bull,2011-04-29T10:38:28Z
ADM,Bull,2013-03-12T11:33:19Z
PBI,Bear,2013-03-12T11:33:19Z
BMY,Bull,2012-06-27T11:17:54Z
KLAC,Bull,2012-06-27T11:17:54Z
SO,Bull,2012-06-27T11:17:54Z
RNDY,Bull,2012-06-27T11:17:54Z
IP,Bull,2012-06-27T11:17:54Z
BA,Bull,2012-06-27T11:17:54Z
CIM,Bear,2012-06-27T11:17:54Z
WIN,Bear,2012-06-27T11:17:54Z
BCDRF,Bear,2012-06-27T11:17:54Z
SPR,Bear,2012-06-27T11:17:54Z
D,Bull,2009-03-18T12:46:56Z
AAPL,Bull,2009-03-18T12:46:56Z
AFL,Bull,2009-03-18T12:46:56Z
NAT,Bull,2009-03-18T12:46:56Z
NYX,Bull,2009-03-18T12:46:56Z
T,Bull,2009-03-18T12:46:56Z
ETR,Bear,2009-03-18T12:46:56Z
MFC,Bear,2009-03-18T12:46:56Z
TAP,Bear,2009-03-18T12:46:56Z
